"CellCode";"EofOrigin.x";"NofOrigin.x";"final_capacity"
"10kmE280N244";NA;NA;NA
"10kmE280N487";NA;NA;NA
"10kmE280N488";NA;NA;NA
"10kmE280N490";NA;NA;NA
"10kmE280N491";2800000;4910000;NA
"10kmE280N492";NA;NA;NA
"10kmE280N493";2800000;4930000;NA
"10kmE280N494";NA;NA;NA
"10kmE280N495";NA;NA;NA
"10kmE280N496";NA;NA;NA
"10kmE280N497";NA;NA;NA
"10kmE280N498";2800000;4980000;0.818477511798744
"10kmE280N499";NA;NA;NA
"10kmE280N500";NA;NA;NA
"10kmE280N502";NA;NA;NA
"10kmE280N503";NA;NA;NA
"10kmE280N504";NA;NA;NA
"10kmE280N505";NA;NA;NA
"10kmE280N506";2800000;5060000;0.999990080634601
"10kmE280N507";NA;NA;NA
"10kmE280N508";NA;NA;NA
"10kmE280N509";NA;NA;NA
"10kmE280N510";NA;NA;NA
"10kmE280N511";NA;NA;NA
"10kmE280N512";2800000;5120000;0.99998937558164
"10kmE280N513";NA;NA;NA
"10kmE280N514";2800000;5140000;NA
"10kmE280N515";NA;NA;NA
"10kmE281N169";NA;NA;NA
"10kmE281N170";NA;NA;NA
"10kmE281N171";NA;NA;NA
"10kmE281N172";NA;NA;NA
"10kmE281N173";NA;NA;NA
"10kmE281N243";NA;NA;NA
"10kmE281N244";NA;NA;NA
"10kmE281N486";NA;NA;NA
"10kmE281N487";NA;NA;NA
"10kmE281N490";NA;NA;NA
"10kmE281N491";NA;NA;NA
"10kmE281N492";2810000;4920000;NA
"10kmE281N493";NA;NA;NA
"10kmE281N494";2810000;4940000;NA
"10kmE281N495";2810000;4950000;NA
"10kmE281N496";NA;NA;NA
"10kmE281N497";2810000;4970000;NA
"10kmE281N498";NA;NA;NA
"10kmE281N499";NA;NA;NA
"10kmE281N502";NA;NA;NA
"10kmE281N503";NA;NA;NA
"10kmE281N504";NA;NA;NA
"10kmE281N505";NA;NA;NA
"10kmE281N506";NA;NA;NA
"10kmE281N507";NA;NA;NA
"10kmE281N509";NA;NA;NA
"10kmE281N510";NA;NA;NA
"10kmE281N511";NA;NA;NA
"10kmE281N512";NA;NA;NA
"10kmE281N513";NA;NA;NA
"10kmE281N514";2810000;5140000;NA
"10kmE281N515";NA;NA;NA
"10kmE282N167";NA;NA;NA
"10kmE282N168";2820000;1680000;0.999977249671255
"10kmE282N169";2820000;1690000;0.999963065750878
"10kmE282N170";2820000;1700000;NA
"10kmE282N171";NA;NA;NA
"10kmE282N172";NA;NA;NA
"10kmE282N173";2820000;1730000;0.99998973374658
"10kmE282N243";NA;NA;NA
"10kmE282N244";NA;NA;NA
"10kmE282N483";NA;NA;NA
"10kmE282N484";NA;NA;NA
"10kmE282N485";NA;NA;NA
"10kmE282N486";NA;NA;NA
"10kmE282N487";NA;NA;NA
"10kmE282N491";NA;NA;NA
"10kmE282N492";NA;NA;NA
"10kmE282N493";NA;NA;NA
"10kmE282N494";NA;NA;NA
"10kmE282N495";NA;NA;NA
"10kmE282N501";NA;NA;NA
"10kmE282N502";NA;NA;NA
"10kmE282N503";NA;NA;NA
"10kmE282N504";NA;NA;NA
"10kmE282N505";NA;NA;NA
"10kmE282N506";NA;NA;NA
"10kmE282N507";NA;NA;NA
"10kmE282N511";2820000;5110000;NA
"10kmE282N512";NA;NA;NA
"10kmE282N513";NA;NA;NA
"10kmE282N514";2820000;5140000;NA
"10kmE282N515";NA;NA;NA
"10kmE282N516";NA;NA;NA
"10kmE282N517";NA;NA;NA
"10kmE283N164";NA;NA;NA
"10kmE283N165";NA;NA;NA
"10kmE283N166";2830000;1660000;NA
"10kmE283N167";2830000;1670000;0.999961153969495
"10kmE283N168";2830000;1680000;0.999961621948556
"10kmE283N169";2830000;1690000;NA
"10kmE283N170";NA;NA;NA
"10kmE283N171";NA;NA;NA
"10kmE283N172";NA;NA;NA
"10kmE283N243";NA;NA;NA
"10kmE283N244";NA;NA;NA
"10kmE283N479";NA;NA;NA
"10kmE283N481";NA;NA;NA
"10kmE283N482";NA;NA;NA
"10kmE283N483";NA;NA;NA
"10kmE283N484";NA;NA;NA
"10kmE283N485";NA;NA;NA
"10kmE283N486";NA;NA;NA
"10kmE283N487";NA;NA;NA
"10kmE283N493";NA;NA;NA
"10kmE283N502";NA;NA;NA
"10kmE283N503";NA;NA;NA
"10kmE283N504";NA;NA;NA
"10kmE283N505";NA;NA;NA
"10kmE283N509";NA;NA;NA
"10kmE283N510";NA;NA;NA
"10kmE283N511";NA;NA;NA
"10kmE283N512";NA;NA;NA
"10kmE283N513";NA;NA;NA
"10kmE283N514";NA;NA;NA
"10kmE283N515";2830000;5150000;NA
"10kmE283N516";2830000;5160000;NA
"10kmE283N517";NA;NA;NA
"10kmE284N160";NA;NA;NA
"10kmE284N161";NA;NA;NA
"10kmE284N162";NA;NA;NA
"10kmE284N163";NA;NA;NA
"10kmE284N164";2840000;1640000;0.999967279828519
"10kmE284N165";2840000;1650000;NA
"10kmE284N166";2840000;1660000;NA
"10kmE284N167";2840000;1670000;NA
"10kmE284N168";2840000;1680000;NA
"10kmE284N169";2840000;1690000;NA
"10kmE284N170";NA;NA;NA
"10kmE284N171";NA;NA;NA
