Biotic_group;Group;SpeciesGroup;Species;SppID;IndicatorCode;Name of Indicator;Category
Seals;Mammals;Seals;;;Reproductive status of seals;Reproductive status of seals - Grey seal;Mammals
Phytoplankton;Pelagic Habitats;Cyanobacteria Bloom Index;;;Cyanobacteria Bloom Index;Cyanobacteria Bloom Index;Phytoplankton
Oxygen;Benthic Habitats;Oxygen;;;Oxygen Debt;Oxygen Debt;Benthic
Benthic fauna quality;Benthic Habitats;Invertebrates;;;Macrofauna community;State of the soft-bottom macrofauna community;Benthic
Fish;Fish;coastal fish key functional groups;;;Abundance of coastal fish key functional groups;Abundance of coastal fish key functional groups - Cyprinids/mesopredators;Fish
Fish;Fish;coastal fish key functional groups;;;Abundance of coastal fish key functional groups;Abundance of coastal fish key functional groups - Piscivores;Fish
Fish;Fish;key coastal fish species;Perch;;Abundance of key coastal fish species;Abundance of key coastal fish species - Perch;Fish
Benthic fauna quality;Benthic Habitats;Benthic Quality Index;;;Benthic Quality Index;Benthic Quality Index;Benthic
Oxygen;Benthic Habitats;Oxygen;;;Oxygen;Oxygen;Benthic
Secchi;Benthic Habitats;Secchi Depth;;;Secchi Depth;Secchi Depth;Benthic
Macrophytes;Benthic Habitats;Macrophytes;;;Macrovegetation Quality element;Macrovegetation Quality element;Macrophytes
Seals;Mammals;Seals;Ringed Seal;;Distribution of Baltic seals;Distribution of Baltic seals - Ringed seal, breeding;Mammals
Seals;Mammals;Seals;Ringed Seal;;Distribution of Baltic seals;Distribution of Baltic seals - Ringed seal, moulting;Mammals
Seals;Mammals;Seals;Ringed Seal;;Distribution of Baltic seals;Distribution of Baltic seals - Ringed seal, occupancy;Mammals
Seals;Mammals;Seals;;;Population trends and abundance of seals;Population trends and abundance of seals - Ringed seal, abundance;Mammals
Seals;Mammals;Seals;;;Population trends and abundance of seals;Population trends and abundance of seals - Ringed seal, pop.growth;Mammals
Zooplankton;Pelagic Habitats;Zooplankton;;;Zooplankton mean size;Zooplankton mean size;Zooplankton
Benthic fauna quality;Benthic Habitats;Invertebrates;;;Zoobenthos Quality element;Zoobenthos Quality element;Benthic
Benthic fauna quality;Benthic Habitats;Invertebrates;;;Zoobenthos Quality element (B);Zoobenthos Quality element (B);Benthic
Benthic fauna quality;Benthic Habitats;BBI;;;BBI;BBI;Benthic
Macrophytes;Benthic Habitats;Macrophytes;;;Macrophytes sheltered;Macrophytes sheltered;Macrophytes
Phytoplankton;Pelagic Habitats;Phytoplankton biovolume;;;Phytoplankton biovolume;Phytoplankton biovolume;Phytoplankton
Macroalgae;Benthic Habitats;Proportion of perennial species;;;Proportion of perennial species;Proportion of perennial species;Benthic
Macroalgae;Benthic Habitats;Macroalgae;Fucus vesiculosus;;Fucus vesiculosus depth distribution;Fucus vesiculosus depth distribution;Macroalgae
Chlorophyll A;Pelagic Habitats;Chlorophyll A;;;ChlorophyllA;Chl a annual;Phytoplankton
Macrophytes;Benthic Habitats;Macrophytes;;;Macrovegetation Quality element;Macrovegetation Quality element (SM1);Macrophytes
Macroalgae;Benthic Habitats;Macroalgae;Furcellaria lumbricalis;;Furcellaria lumbricalis depth distribution;Furcellaria lumbricalis depth distribution;Benthic
Macrophytes;Benthic Habitats;Phytobenthos Ecological Quality Index;;;Phytobenthos Ecological Quality Index;Phytobenthos Ecological Quality Index;Macrophytes
Macrophytes;Benthic Habitats;Macrophytes;;;Macrophytes macroflora depth distribution;Macrophytes macroflora depth distribution;Macrophytes
Fish;Fish;Fish;;;;Scophtalmus maximus biomass;Fish
Fish;Fish;Fish;;;;Scophtalmus maximus mean length;Fish
Fish;Fish;Fish;;;;Scophtalmus maximus ratio catch/biomass;Fish
Fish;Fish;Fish;;;;Scophtalmus maximus sexually mature specimen;Fish
Fish;Fish;Fish;;;;Sprattus spratu sexually mature specimen;Fish
Fish;Fish;Fish;;;;Sprattus spratus  ratio catch/biomass;Fish
